GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-BTH_RS10405	489.863637390632	-1.4619702540003	0.18185568147424	-8.03917833167828	9.04428752020376e-16	2.42632552856824e-14
gene-BTH_RS25815	122.892159592717	1.82797012500228	0.23040347714935	7.93377837703973	2.12577302060896e-15	5.66785861813898e-14
gene-BTH_RS10925	12511.9818646533	1.34128006420959	0.16976305778711	7.90089482183813	2.76908244471463e-15	7.33806847849377e-14
gene-BTH_RS13440	8647.23768547043	-1.48296711370215	0.188367946561022	-7.87271476265598	3.47027243926963e-15	9.08542410907579e-14
gene-BTH_RS19345	11418.7122486747	-1.27080538936546	0.162321481911158	-7.82894152026656	4.91994407155465e-15	1.27274267470098e-13
gene-BTH_RS06260	607.489887607155	-1.2356150069638	0.159093365177451	-7.76660299809239	8.06190263131863e-15	2.07319697252726e-13
gene-BTH_RS12710	1201.18268716023	-1.18617503919912	0.15404714000122	-7.70007829544727	1.35982884626131e-14	3.47636245050098e-13
gene-BTH_RS01055	498.112268767261	-1.35666280581832	0.176485684837586	-7.6870982882652	1.5050950982275e-14	3.8252299981852e-13
gene-BTH_RS25450	341.819731965986	1.19123719491427	0.155029676518587	7.68393008142186	1.54280888992806e-14	3.8982833928066e-13
gene-BTH_RS25570	1037.79634901974	1.07926432160956	0.14195347695333	7.60294389946074	2.8946899782712e-14	7.27186280090557e-13
gene-BTH_RS25535	429.228946926832	1.43774984046433	0.189611466122744	7.58261021795809	3.38671159129364e-14	8.45899343434608e-13
gene-BTH_RS28535	765.256323578037	-1.0941333507243	0.144768713338108	-7.55780254929084	4.09935691024406e-14	1.01804600753832e-12
gene-BTH_RS30285	3827.23327543448	1.03638931301673	0.137403141653808	7.54269007638815	4.60374378324114e-14	1.13681082283898e-12
gene-BTH_RS28370	362.829824890598	-1.17682904709713	0.156904374552455	-7.50029468874814	6.36745185194156e-14	1.56344326262927e-12
gene-BTH_RS04185	765.18347253956	-1.04032940381478	0.139710304903853	-7.44633264189579	9.59706452759241e-14	2.34319339533239e-12
gene-BTH_RS25475	383.57870426573	1.16389635762601	0.156403124099565	7.44164392064882	9.94399656925935e-14	2.40092272722229e-12
gene-BTH_RS25470	163.984453600458	1.66339920203822	0.223928022657248	7.42827620366336	1.10022034262742e-13	2.64174453539159e-12
gene-BTH_RS10410	502.139681178824	-1.35499793706197	0.182535797385835	-7.42319017128375	1.1433242890849e-13	2.73015789030933e-12
gene-BTH_RS06305	906.714240288979	-1.01303885138853	0.137083939429331	-7.38991639433274	1.46921165092263e-13	3.47021404071181e-12
gene-BTH_RS04160	176.171016989811	-1.57252934559202	0.213625811104964	-7.36113926242444	1.82347206921887e-13	4.2836808717974e-12
gene-BTH_RS02770	747.275734131927	1.11342544937648	0.151404474816594	7.35397979964097	1.92390821448067e-13	4.49532532265215e-12
gene-BTH_RS25760	365.332110909212	1.00804744729724	0.137457988282575	7.33349483643668	2.24227125153794e-13	5.21118227763844e-12
gene-BTH_RS25575	871.445739768515	1.23929518873608	0.169210745391627	7.32397452577739	2.40732404387728e-13	5.56501611419716e-12
gene-BTH_RS10090	597.436994369709	-1.32462181213177	0.181063705938668	-7.3157776444743	2.55895093733031e-13	5.85326356507239e-12
gene-BTH_RS24095	262.804002294317	-1.23045450193724	0.168186158703769	-7.31602714171308	2.55420022938064e-13	5.85326356507239e-12
gene-BTH_RS14880	135.710446925092	1.57995270378801	0.218755190670989	7.22246955119926	5.10518381150945e-13	1.15557962733438e-11
gene-BTH_RS25720	251.924098013622	1.18975745464162	0.164782294040197	7.22017775982282	5.1919660654504e-13	1.16913391297655e-11
gene-BTH_RS25780	173.909658273048	1.37080838843724	0.190781751730998	7.18521753783915	6.7100262240355e-13	1.50318422524012e-11
gene-BTH_RS25800	2091.10859363796	1.17826651021458	0.164757648490727	7.15151327424347	8.58264191158317e-13	1.90306947692553e-11
gene-BTH_RS12340	219.783402034386	-1.31155683282031	0.186027811824061	-7.05032661492971	1.78498307148849e-12	3.93783575060354e-11
gene-BTH_RS25405	3361.79315047598	1.02545442008164	0.146675431230909	6.99131689251546	2.72317877216942e-12	5.97723987063046e-11
gene-BTH_RS25650	787.632193528776	1.37563756542409	0.196875856735713	6.98733500507762	2.80156738744593e-12	6.11839792253267e-11
gene-BTH_RS05270	537.864285893528	2.03064214554063	0.291103743070506	6.97566484072587	3.04427697292625e-12	6.61521386216873e-11
gene-BTH_RS04420	61.9651097877989	-2.04511712979469	0.29745754828508	-6.87532436673844	6.18489651469936e-12	1.33067129964769e-10
MSTRG.1454.1	124.247320496215	-1.90732151727173	0.277715249082694	-6.86790344992469	6.51522896451699e-12	1.39483670343797e-10
gene-BTH_RS14875	191.310315883758	1.19937090429722	0.1755919113611	6.83044506435576	8.46515919468727e-12	1.80341087549563e-10
gene-BTH_RS28360	522.40944906539	-1.05571777495752	0.156581435300093	-6.7422921046432	1.55907236098648e-11	3.28918858293556e-10
gene-BTH_RS29925	278.322194469667	1.36184991972441	0.202907597374248	6.71167535049258	1.92402395705105e-11	4.03952082963471e-10
gene-BTH_RS22270	463.464219694083	1.14342612359464	0.170637332999279	6.7009141756773	2.07119667504689e-11	4.30689988026497e-10
gene-BTH_RS04125	69.6495060411568	-2.06691001114315	0.309267789885689	-6.68323724209078	2.33720739463698e-11	4.81398262421438e-10
gene-BTH_RS12345	215.496427814443	-1.43792762981779	0.215445448793086	-6.67420749833882	2.48571713504186e-11	5.0957201268358e-10
rna-BTH_RS25430	849.279812601641	1.44306043243526	0.217330034182154	6.63994941088428	3.13790832542955e-11	6.37259326276487e-10
gene-BTH_RS10350	148.813710995879	-1.57412395440271	0.237780303989781	-6.62007713839223	3.59011476449382e-11	7.22344387337507e-10
